2023-12-30 19:21:35,467 INFO    StreamThr :60302 [internal.py:wandb_internal():86] W&B internal server running at pid: 60302, started at: 2023-12-30 19:21:35.466637
2023-12-30 19:21:35,468 DEBUG   HandlerThread:60302 [handler.py:handle_request():146] handle_request: status
2023-12-30 19:21:35,468 INFO    WriterThread:60302 [datastore.py:open_for_write():85] open: /home/cwtang/david_dynamo/wandb/run-20231230_192135-st0xwqp1/run-st0xwqp1.wandb
2023-12-30 19:21:35,469 DEBUG   SenderThread:60302 [sender.py:send():382] send: header
2023-12-30 19:21:35,471 DEBUG   SenderThread:60302 [sender.py:send():382] send: run
2023-12-30 19:21:35,713 INFO    SenderThread:60302 [dir_watcher.py:__init__():211] watching files in: /home/cwtang/david_dynamo/wandb/run-20231230_192135-st0xwqp1/files
2023-12-30 19:21:35,713 INFO    SenderThread:60302 [sender.py:_start_run_threads():1136] run started: st0xwqp1 with start time 1703964095.466456
2023-12-30 19:21:35,719 DEBUG   HandlerThread:60302 [handler.py:handle_request():146] handle_request: check_version
2023-12-30 19:21:35,719 DEBUG   SenderThread:60302 [sender.py:send_request():409] send_request: check_version
2023-12-30 19:21:35,854 DEBUG   HandlerThread:60302 [handler.py:handle_request():146] handle_request: run_start
2023-12-30 19:21:36,375 DEBUG   HandlerThread:60302 [system_info.py:__init__():32] System info init
2023-12-30 19:21:36,375 DEBUG   HandlerThread:60302 [system_info.py:__init__():47] System info init done
2023-12-30 19:21:36,375 INFO    HandlerThread:60302 [system_monitor.py:start():194] Starting system monitor
2023-12-30 19:21:36,375 INFO    SystemMonitor:60302 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-30 19:21:36,376 INFO    HandlerThread:60302 [system_monitor.py:probe():214] Collecting system info
2023-12-30 19:21:36,376 INFO    SystemMonitor:60302 [interfaces.py:start():190] Started cpu monitoring
2023-12-30 19:21:36,377 INFO    SystemMonitor:60302 [interfaces.py:start():190] Started disk monitoring
2023-12-30 19:21:36,377 INFO    SystemMonitor:60302 [interfaces.py:start():190] Started gpu monitoring
2023-12-30 19:21:36,378 INFO    SystemMonitor:60302 [interfaces.py:start():190] Started memory monitoring
2023-12-30 19:21:36,378 INFO    SystemMonitor:60302 [interfaces.py:start():190] Started network monitoring
2023-12-30 19:21:36,412 DEBUG   HandlerThread:60302 [system_info.py:probe():196] Probing system
2023-12-30 19:21:36,414 DEBUG   HandlerThread:60302 [system_info.py:_probe_git():181] Probing git
2023-12-30 19:21:36,419 DEBUG   HandlerThread:60302 [system_info.py:_probe_git():189] Probing git done
2023-12-30 19:21:36,419 DEBUG   HandlerThread:60302 [system_info.py:probe():244] Probing system done
