sample_id,system,Rouge rouge1,Rouge rouge2,Rouge rougeL,Rouge rougeLsum,BertScore precision,BertScore recall,BertScore f1,MQAG kl_div,MQAG counting,MQAG hellinger,MQAG total_variation,NLI Score,NLI contradiction %,hallucination_type
33670226,PtGen,0.2564102564102564,0.05405405405405406,0.10256410256410256,0.10256410256410256,0.8822972178459167,0.8726288080215454,0.8774363994598389,0.121803655488065,0.3333333333333333,0.0455059120964744,0.13596835111578306,0.7970292242635199,0.0,['NULL']
32926574,PtGen,0.43243243243243246,0.2857142857142857,0.43243243243243246,0.43243243243243246,0.9244128465652466,0.8869388699531555,0.9052882194519043,5.606832294419205,0.6666666666666666,0.9303629942143631,0.6867674810200697,0.7597737857481328,0.0,['NULL']
27493801,TConvS2S,0.5,0.20000000000000004,0.5,0.5,0.9073858857154846,0.883734405040741,0.8954039812088013,1.553361758435818,0.6666666666666666,0.5891295269118096,0.6952177561858358,0.7232793391435995,0.0,['NULL']
35412241,Gold,0.4999999999999999,0.17391304347826086,0.2916666666666667,0.2916666666666667,0.9227999448776245,0.8935568332672119,0.9079429507255554,0.09046991213330936,0.0,0.03713267839530806,0.13923819114764532,0.815308227629985,0.0,['NULL']
35265124,Gold,0.6470588235294118,0.4375,0.6470588235294118,0.6470588235294118,0.9344807863235474,0.9224578142166138,0.9284303784370422,0.20390801168598982,0.3333333333333333,0.07199429236183842,0.243042583266894,0.8278381807108719,0.0,['NULL']
34195413,TConvS2S,0.18750000000000003,0.0,0.18750000000000003,0.18750000000000003,0.8814586400985718,0.8618395328521729,0.8715386986732483,0.6405819662525263,1.0,0.21279403396500854,0.4537998139858246,0.7365164526926926,0.16666666666666666,['NULL']
37554205,Gold,0.45,0.21052631578947367,0.35000000000000003,0.35000000000000003,0.9303895235061646,0.9048027992248535,0.9174178242683411,0.23195129465199596,0.0,0.10131346288102877,0.19818808635075888,0.9845178689468991,0.0,['NULL']
39740178,PtGen,0.34782608695652173,0.04545454545454546,0.2608695652173913,0.2608695652173913,0.8528016805648804,0.8590774536132812,0.8559280633926392,0.10172019889099686,0.0,0.04176364649148678,0.09272114932537079,0.7426847701310485,0.031496062992125984,['NULL']
34759626,Gold,0.5714285714285715,0.5,0.5714285714285715,0.5714285714285715,0.9034637212753296,0.8961474895477295,0.8997907638549805,0.2486166508850305,0.3333333333333333,0.08155715066788971,0.17059888069828352,0.44323764620483785,0.991304347826087,['NULL']
40630842,PtGen,0.4090909090909091,0.19047619047619047,0.4090909090909091,0.4090909090909091,0.8882177472114563,0.8810557126998901,0.8846222162246704,0.2647262623327887,0.3333333333333333,0.0832090733495525,0.16999496767918268,0.825883645210823,0.0,['NULL']
35146033,PtGen,0.4444444444444444,0.13953488372093023,0.3111111111111111,0.3111111111111111,0.8781698942184448,0.8825247287750244,0.8803419470787048,0.04033945395527475,0.3333333333333333,0.015330902336259397,0.06219987695415815,0.6706495232960229,0.016129032258064516,['NULL']
39860898,BERTS2S,1.0,1.0,1.0,1.0,0.9999667406082153,0.9999667406082153,0.9999667406082153,0.0022637092944321584,0.0,0.0008295849671799501,0.016574581464131672,0.88630345021144,0.009900990099009901,['NULL']
36515816,Gold,0.5128205128205129,0.27027027027027023,0.41025641025641024,0.41025641025641024,0.8928011655807495,0.9024184942245483,0.897584080696106,0.5120895418087692,0.3333333333333333,0.15007199835401258,0.2849373246232669,0.43061931283834076,0.8671875,['NULL']
25840979,TranS2S,0.41379310344827586,0.14814814814814814,0.27586206896551724,0.27586206896551724,0.8768894076347351,0.8765153884887695,0.8767023682594299,0.5841141538351416,0.6666666666666666,0.2757540029052388,0.4006637583176295,0.7385633235627954,0.011363636363636364,['NULL']
40000044,Gold,0.33333333333333326,0.17647058823529413,0.33333333333333326,0.33333333333333326,0.932173490524292,0.914044976234436,0.9230202436447144,0.2183536621721591,0.0,0.09634543398102897,0.1826596394336472,0.7251434073998376,0.0,['NULL']
30453069,Gold,0.25641025641025644,0.0,0.10256410256410256,0.10256410256410256,0.8697951436042786,0.8888574838638306,0.8792229890823364,0.7019610988804162,0.6666666666666666,0.28598744051255554,0.43812641004721325,0.8221766337752342,0.0,['NULL']
40899859,PtGen,0.3555555555555555,0.046511627906976744,0.22222222222222224,0.22222222222222224,0.8810036778450012,0.8687344789505005,0.8748260140419006,0.778558319994746,0.6666666666666666,0.41140899756862903,0.36078105918568326,0.6886634790017957,0.05737704918032787,['NULL']
33203666,TConvS2S,0.1818181818181818,0.0,0.1212121212121212,0.1212121212121212,0.8677836656570435,0.874997615814209,0.8713756799697876,0.6612879456209574,0.3333333333333333,0.2855538220395349,0.37978626290957135,0.7638439327478409,0.0,['NULL']
16679938,Gold,0.4,0.1509433962264151,0.3636363636363636,0.3636363636363636,0.9213741421699524,0.8705120086669922,0.8952212929725647,1.708010050446231,0.3333333333333333,0.3230258991534675,0.40120260417461395,0.5680775106555285,0.37373737373737376,['NULL']
34802406,TranS2S,0.6842105263157895,0.4444444444444444,0.6842105263157895,0.6842105263157895,0.9396085739135742,0.9269026517868042,0.9332123398780823,0.19338693690033712,0.0,0.04566733500004719,0.12390224138895671,0.7048373597341258,0.009009009009009009,['NULL']
37972178,PtGen,0.4375,0.2,0.37499999999999994,0.37499999999999994,0.9051597118377686,0.8839033246040344,0.8944053053855896,0.21697018805066348,0.3333333333333333,0.07766176031610814,0.2098266432682673,0.9008978437154721,0.0,['NULL']
