sample_id,Rouge rouge1,Rouge rouge2,Rouge rougeL,Rouge rougeLsum,BertScore precision,BertScore recall,BertScore f1,MQAG kl_div,MQAG counting,MQAG hellinger,MQAG total_variation,NLI Score,NLI contradiction %,hallucination_type
39587051,0.358974358974359,0.1081081081081081,0.25641025641025644,0.25641025641025644,0.893836259841919,0.8523670434951782,0.8726092576980591,0.14823619189379508,0.0,0.08754826129062247,0.122336500416471,0.8000751674175263,0.0,['extrinsic']
37429966,0.48484848484848486,0.19354838709677422,0.42424242424242425,0.42424242424242425,0.8635281324386597,0.8468112945556641,0.8550880551338196,1.2948991434989372,0.3333333333333333,0.34293486905728754,0.3981266568104426,0.8806574295901654,0.0,['extrinsic']
37791582,0.4666666666666667,0.07142857142857144,0.39999999999999997,0.39999999999999997,0.8882695436477661,0.8894782662391663,0.8888734579086304,0.5472326139625138,0.6666666666666666,0.2656525133362882,0.33977701763312024,0.6861097928881645,0.02,['extrinsic']
40917946,0.3783783783783784,0.11428571428571427,0.2702702702702703,0.2702702702702703,0.8874284029006958,0.8521299362182617,0.8694210648536682,0.2090233611866704,0.3333333333333333,0.09285771440123648,0.2247454822063446,0.8063222943125544,0.0,['extrinsic']
31566848,0.34285714285714286,0.06060606060606061,0.17142857142857143,0.17142857142857143,0.8989633917808533,0.886458158493042,0.8926669359207153,0.5581010634867394,0.6666666666666666,0.23468453968454486,0.3378770897785823,0.8073757783997626,0.011904761904761904,['extrinsic']
38168461,0.5185185185185185,0.34615384615384615,0.4444444444444444,0.4444444444444444,0.8792371153831482,0.9315757751464844,0.9046500325202942,0.6234273798449871,0.6666666666666666,0.17639063442751615,0.3834347029527028,0.4917979260645301,0.9140271493212669,['NULL']
28328378,0.16666666666666663,0.0,0.11111111111111112,0.11111111111111112,0.8928265571594238,0.8614997267723083,0.8768833875656128,1.4538170230970684,0.6666666666666666,0.520106111221892,0.4975112812426232,0.6743180273254286,0.021505376344086023,['extrinsic']
33645248,0.5,0.15384615384615383,0.35714285714285715,0.35714285714285715,0.8698209524154663,0.8620913624763489,0.8659388422966003,1.351811893351365,0.6666666666666666,0.3072248419740782,0.4488584818318486,0.8736057222426475,0.0,['extrinsic']
40422011,0.4571428571428572,0.24242424242424243,0.4,0.4,0.8938815593719482,0.9149320125579834,0.9042842984199524,0.12345620738865021,0.3333333333333333,0.04548316446146358,0.1612541681776444,0.8341375808231533,0.0,['extrinsic']
36423607,0.3111111111111111,0.0930232558139535,0.2666666666666666,0.2666666666666666,0.8707848787307739,0.868414044380188,0.869597852230072,0.05120921180997479,0.3333333333333333,0.018905137791522485,0.1027452399333318,0.7825941333249837,0.0,['intrinsic']
